,,,,,,,,,,,,,,,,,,,,,,
ID,RELEASE,COUNTRY,QUANTITY,FRANCHISE,CONDITION,YEAR,Bar Code,RARITY,ADD. INFORMATION,,,,ID,RELEASE,COUNTRY,QUANTITY,FRANCHISE,CONDITION,YEAR,Bar Code,RARITY,ADD. INFORMATION
CD-0001,Hannah Montana Dlx CD + DVD,Argentina,1,Hannah Montana,"Used, VG",2006,,YES,First Hannah CD,,,,DVD-0001,Hannah Montana Detras del Proyector,Argentina,1,Hannah Montana,NEW,2007,,YES,First Hannah CD
CD-0002,Hannah Montana,Europe,1,Hannah Montana,NEW,2006,,,Part of boxset HM The Collection,,,,DVD-0002,Hannah Montana Estrella Pop,Argentina,1,Hannah Montana,VG,2007,,YES,Part of boxset HM The Collection
CD-0003,Hannah Montana Special Edition CD + DVD,USA,1,Hannah Montana,"Used, VG",2007,,,"Digipack damaged, CD DVD VG+",,,,DVD-0003,Hannah Montana Temporada 1 Completa,Argentina,2,Hannah Montana,VG+,2008,,,One copy missing 2 DVDs
CD-0004,Hannah Montana,Chile,1,Hannah Montana,"Used, VG",2007,,YES,Missing booklet,,,,DVD-0004,Hannah y Miley En Concierto: Lo Mejor d Ambos Mundos,Argentina,2,Hannah Montana,"F, VG",2009,,,One copy missing a DVDs
CD-0005,Hannah Montana 2,Canada,1,Hannah Montana,"Used, VG",2007,,,,,,,DVD-0005,Hannah Montana Temporada 2 Vol 1,Argentina,1,Hannah Montana,VG+,2009,,,
CD-0006,Hannah Montana 2,Europe,1,Hannah Montana,NEW,2007,,,"Part of boxset HM The Collection, includes AD",,,,DVD-0006,Hannah Montana Temporada 2 Vol 2,Argentina,1,Hannah Montana,VG+,2009,,,
CD-0007,Best of Both Words ,Europe,1,Hannah Montana,VG+,2007,,,,,,,DVD-0007,Hannah Montana Temporada 2 Vol 3,Argentina,2,Hannah Montana,"VG+, VG",2009,,,
CD-0008,Hannah Montana 2: Non Stop Dance Party,Argentina,1,Hannah Montana,VG+,2008,,,,,,,DVD-0008,Hannah Montana Temporada 2 Vol 4,Argentina,1,Hannah Montana,VG+,2009,,,
CD-0009,Best of Both Words Concert CD + DVD,USA,1,Hannah Montana,VG+,2008,,,,,,,DVD-0009,Hannah Montana La Película,Argentina,1,Hannah Montana,Fair,2009,,,
CD-0010,Hannah Montana The Movie,Argentina,1,Hannah Montana,"Used, VG",2009,,,Missing back cover.,,,,DVD-0010,Disney Karaoke Series: Hannah Montana,Argentina,1,Hannah Montana,VG+,2009,,,
